year	state	district	crop	season	area	production
2007	RAJASTHAN 	CHURU	Wheat	Rabi	17651	22633
2007	RAJASTHAN 	DAUSA	Wheat	Rabi	77470	223996
2007	RAJASTHAN 	DHOLPUR	Wheat	Rabi	51180	150681
2007	RAJASTHAN 	DUNGARPUR	Wheat	Rabi	41492	76137
2007	RAJASTHAN 	GANGANAGAR	Wheat	Rabi	202387	645520
2007	RAJASTHAN 	HANUMANGARH	Wheat	Rabi	216076	604842
2007	RAJASTHAN 	JAIPUR	Wheat	Rabi	132008	288950
2007	RAJASTHAN 	JAISALMER	Wheat	Rabi	9696	8987
2007	RAJASTHAN 	JALORE	Wheat	Rabi	31525	54016
2007	RAJASTHAN 	JHALAWAR	Wheat	Rabi	57376	164458
2007	RAJASTHAN 	JHUNJHUNU	Wheat	Rabi	75906	211838
2007	RAJASTHAN 	JODHPUR	Wheat	Rabi	41824	86363
2007	RAJASTHAN 	KARAULI	Wheat	Rabi	56952	192121
2007	RAJASTHAN 	KOTA	Wheat	Rabi	110050	398747
2007	RAJASTHAN 	NAGAUR	Wheat	Rabi	79567	161304
2007	RAJASTHAN 	PALI	Wheat	Rabi	69452	131968
2007	RAJASTHAN 	RAJSAMAND	Wheat	Rabi	34420	107093
2007	RAJASTHAN 	SAWAI MADHOPUR	Wheat	Rabi	45688	118179
2007	RAJASTHAN 	SIKAR	Wheat	Rabi	85200	170924
2007	RAJASTHAN 	SIROHI	Wheat	Rabi	39349	92695
2007	RAJASTHAN 	TONK	Wheat	Rabi	69961	175020
2007	RAJASTHAN 	UDAIPUR	Wheat	Rabi	79367	184713
2008	RAJASTHAN 	AJMER	Wheat	Rabi	16605	37499
2008	RAJASTHAN 	ALWAR	Wheat	Rabi	170172	688076
2008	RAJASTHAN 	BANSWARA	Wheat	Rabi	76116	118511
2008	RAJASTHAN 	BAREN	Wheat	Rabi	95802	346163
2008	RAJASTHAN 	BARMER	Wheat	Rabi	11467	9986
2008	RAJASTHAN 	BHARATPUR	Wheat	Rabi	133758	551718
2008	RAJASTHAN 	BHILWARA	Wheat	Rabi	54375	143160
2008	RAJASTHAN 	BIKANER	Wheat	Rabi	58932	141123
2008	RAJASTHAN 	BUNDI	Wheat	Rabi	117809	429814
2008	RAJASTHAN 	CHITTOR GARH	Wheat	Rabi	84045	303325
2008	RAJASTHAN 	CHURU	Wheat	Rabi	17325	27853
2008	RAJASTHAN 	DAUSA	Wheat	Rabi	77365	245789
2008	RAJASTHAN 	DHOLPUR	Wheat	Rabi	50807	185291
2008	RAJASTHAN 	DUNGARPUR	Wheat	Rabi	18296	24530
2008	RAJASTHAN 	GANGANAGAR	Wheat	Rabi	213503	809140
2008	RAJASTHAN 	HANUMANGARH	Wheat	Rabi	207479	680021
2008	RAJASTHAN 	JAIPUR	Wheat	Rabi	136789	425084
2008	RAJASTHAN 	JAISALMER	Wheat	Rabi	9521	7878
2008	RAJASTHAN 	JALORE	Wheat	Rabi	23600	37105
2008	RAJASTHAN 	JHALAWAR	Wheat	Rabi	58810	163674
2008	RAJASTHAN 	JHUNJHUNU	Wheat	Rabi	71814	253157
2008	RAJASTHAN 	JODHPUR	Wheat	Rabi	41501	81665
2008	RAJASTHAN 	KARAULI	Wheat	Rabi	62737	228085
2008	RAJASTHAN 	KOTA	Wheat	Rabi	86611	320290
2008	RAJASTHAN 	NAGAUR	Wheat	Rabi	67100	173274
2008	RAJASTHAN 	PALI	Wheat	Rabi	30185	51077
2008	RAJASTHAN 	RAJSAMAND	Wheat	Rabi	12069	26966
2008	RAJASTHAN 	SAWAI MADHOPUR	Wheat	Rabi	53450	164400
2008	RAJASTHAN 	SIKAR	Wheat	Rabi	85657	250455
2008	RAJASTHAN 	SIROHI	Wheat	Rabi	24790	52778
2008	RAJASTHAN 	TONK	Wheat	Rabi	40643	105913
2008	RAJASTHAN 	UDAIPUR	Wheat	Rabi	41115	86645
2009	RAJASTHAN 	AJMER	Wheat	Rabi	8761	21653
2009	RAJASTHAN 	ALWAR	Wheat	Rabi	192800	722874
2009	RAJASTHAN 	BANSWARA	Wheat	Rabi	80466	161762
2009	RAJASTHAN 	BAREN	Wheat	Rabi	105609	397171
2009	RAJASTHAN 	BARMER	Wheat	Rabi	15200	23127
2009	RAJASTHAN 	BHARATPUR	Wheat	Rabi	160732	630274
2009	RAJASTHAN 	BHILWARA	Wheat	Rabi	38384	103366
2009	RAJASTHAN 	BIKANER	Wheat	Rabi	55947	98721
2009	RAJASTHAN 	BUNDI	Wheat	Rabi	107862	366088
2009	RAJASTHAN 	CHITTOR GARH	Wheat	Rabi	65075	214409
2009	RAJASTHAN 	CHURU	Wheat	Rabi	22674	42534
2009	RAJASTHAN 	DAUSA	Wheat	Rabi	83956	291788
2009	RAJASTHAN 	DHOLPUR	Wheat	Rabi	56832	222278
2009	RAJASTHAN 	DUNGARPUR	Wheat	Rabi	36010	64072
2009	RAJASTHAN 	GANGANAGAR	Wheat	Rabi	202210	575623
2009	RAJASTHAN 	HANUMANGARH	Wheat	Rabi	217397	657210
2009	RAJASTHAN 	JAIPUR	Wheat	Rabi	139226	447502
2009	RAJASTHAN 	JAISALMER	Wheat	Rabi	10768	12725
2009	RAJASTHAN 	JALORE	Wheat	Rabi	30967	61604
2009	RAJASTHAN 	JHALAWAR	Wheat	Rabi	67915	226609
2009	RAJASTHAN 	JHUNJHUNU	Wheat	Rabi	79516	257934
2009	RAJASTHAN 	JODHPUR	Wheat	Rabi	53143	132805
2009	RAJASTHAN 	KARAULI	Wheat	Rabi	73134	285650
2009	RAJASTHAN 	KOTA	Wheat	Rabi	91999	325222
2009	RAJASTHAN 	NAGAUR	Wheat	Rabi	77165	194171
2009	RAJASTHAN 	PALI	Wheat	Rabi	24350	48213
2009	RAJASTHAN 	RAJSAMAND	Wheat	Rabi	6461	16811
2009	RAJASTHAN 	SAWAI MADHOPUR	Wheat	Rabi	61185	213165
2009	RAJASTHAN 	SIKAR	Wheat	Rabi	90628	301181
2009	RAJASTHAN 	SIROHI	Wheat	Rabi	18016	44115
2009	RAJASTHAN 	TONK	Wheat	Rabi	39926	106733
2009	RAJASTHAN 	UDAIPUR	Wheat	Rabi	32201	75366
